Program,Year,Domain,Temporal scale (as described in paper),Temporal scale (days),Spatial scale (as described in paper),Spatial scale (km),Number of species,Implementation,Factors determining scale,Factors influencing ability to implement or succeed,Reference(s)
Atlantic bluefin tuna spawning in the W. Mediterranean,2016,Marine,Annual,365.25,0.5 degree,55.285,1,Proposed,Data availability and quality; spatial and temporal scale relevant to mesoscale oceanography in the region,"Data accessibility, QC, and validation; understanding of regional oceanography; design of seascape metrics; identification of management needs ",Alvarez-Berastegui et al. (2016)
Atlantic sturgeon habitat forecasts,2016,Marine,"1, 3, and 8-day versions",2.88,~1 km,1,1,Proposed,Scale of available relevant environmental data; temporal averaging to overcome gaps in satellite data,Not explicitly discussed,Breece et al. (2016)
Black marlin dynamic habitat in the SW Pacific,2016,Marine,Seasonal,91.3,4 km2,2,1,Proposed,Scale of coarsest environmental data product in model,Not explicitly discussed,Hill et al. (2016)
Key cetacean habitats in the Azores,2016,Marine,Monthly,30.4,2.5 arc-min,4.61,18,Proposed,Scale of coarsest environmental data product in model,Resources required for DOM in practice,Tobena et al. (2016)
Australian dolphinfish recreational fishery management,2017,Marine,Seasonal,91.3,1 degree lat; 2 degree lon,144.3,1,Proposed,Scale of relevant environmental forecast data products,Integration with distribution models for other species; clear communication of modeling approach and results,Brodie et al. (2017)
CA drift gillnet bycatch of Mola mola and bluefin tuna,2017,Marine,Monthly,30.4,0.25 degree,27.64,2,Proposed,Scale of coarsest environmental data product in model,Current static management in the study system,Hahlbeck et al. (2017)
Lesser prairie chicken habitat management,2017,Terrestrial,Annual,365.25,3.2 km,3.2,1,Proposed,"Scale of study species ""lek arena""; scale of available relevant environmental data",Not explicitly discussed,Sadoti et al. (2017)
South Atlantic marine conservation areas,2017,Marine,Seasonal,91.3,0.2 degree,22.114,6,Proposed,Scale of animal geolocation data smoothed for acceptable error,Transnational and high seas jurisdictional complications,Dias et al. (2017)
Southern CA fin whales dynamic habitat forecast,2017,Marine,Seasonal,91.3,0.05 degree,5,1,Proposed,Scale of available relevant environmental data,Not explicitly discussed,Scales et al. (2017)
WhaleWatch,2017,Marine,8 day and Monthly,8,25 km,25,1,Proposed,Scale of coarsest environmental data product in model; Comparability to other studies,"Uptake by managers and industry (though these sectors have been engaged with the issue discussed in this paper, perhaps lowering this barrier)",Hazen et al. (2017)
BirdCast,2018,Terrestrial,1-7 days,2.65,12 km - 0.5 degree,25.84,>100,Proposed,Scale of available relevant environmental data; smooth and interpretable presentation of results,Not explicitly discussed,Van Doren & Horton (2018)
California sea lions dynamic distribution model,2018,Marine,Annual,365.25,0.25 degree,27.64,1,Proposed,Scale of coarsest environmental data product in model,Not explicitly discussed,Briscoe et al. (2018)
Dynamic habitat models of CA Current pelagics,2018,Marine,Daily,1,0.1 degree (10 km),10,4,Proposed,Scale of available relevant environmental data,Resources needed for inclusion and interpretation of modeled subsurface oceanographic variables,Brodie et al. (2018)
EcoCast,2018,Marine,Daily,1,0.25 degree,27.64,4,Proposed,Scale of coarsest environmental data product in model (spatial); Feasibility and utility in implementation (temporal),Scales of feasible implementation,Hazen et al. (2018)
Mallard distribution in Mississipi Alluvial Valley,2018,Terrestrial,~Monthly,30.4,2 km x 2 km,2,1,Proposed,Computational time and capacity; scale of study species daily movements,Not explicitly discussed,Herbert et al. (2018)
Sand tiger shark NW mid-Atlantic coastal habitat forecast,2018,Marine,"1, 3, and 8-day versions",2.88,1 km2,1,1,Proposed,Scale of available relevant environmental data,Not explicitly discussed,Haulsee et al. (2018)
Kingfish fishery climate adaptation,2019,Marine,Monthly,30.4,0.2 degree,22.11,1,Proposed,Scale of available relevant environmental data,Not explicitly discussed,Champion et al. (2019)
